Id,SalePrice
2658,137904.25669319485
2718,152439.54751209947
2414,225759.21047978697
1989,113703.93480662767
625,170364.75471846526
333,80156.08279268409
1327,101408.40390299886
858,147526.3706588397
95,179827.8780554378
1568,165559.4268752473
2482,143258.0201973382
1364,120872.72242317212
2584,149235.3778089607
818,243593.16147739955
2673,166807.13156244013
2089,108464.95556042624
1297,164081.80826236203
790,120513.02944348496
2616,201665.6486733581
720,193252.86639334692
222,143296.2779667636
557,115098.1651398535
1148,180577.07643345062
2766,170295.960250544
534,182647.28368027773
1452,117688.77468740736
630,108284.63369542957
2648,124184.4976969437
125,159197.0966965521
1904,43365.00931659146
1670,93879.91523580809
756,98872.43894997936
717,200143.42548962007
1032,157089.09766042247
852,212689.88848513714
1731,186664.74785290274
2639,118856.08860025299
2071,70076.5763741706
1267,118070.00770076459
1851,200011.2593398736
567,174807.5755495058
2439,199809.5256582536
1898,149496.0970093248
647,183366.81214825422
2256,213300.60949718484
979,89443.82737300447
1444,217861.21866531702
2485,115067.27956127907
157,124034.24852813166
88,111850.5587997815
2003,107813.56121015135
186,207281.94064014527
1425,236813.61887084332
2695,123850.75117235744
738,102789.74816088504
395,150310.25878021697
1353,171276.32552681878
1878,137673.5628695645
390,149417.1463837212
1456,225986.4512856435
1103,333716.48441857396
1387,138002.56977300587
2070,140896.1182791508
1199,161563.05799192467
2479,179152.06321663884
501,316210.37519542046
2362,79111.19433534575
1718,226442.74271637047
2188,83286.21836058387
1483,141887.08636340883
2557,86272.48520134487
437,360500.3892215792
2224,211025.92146108072
1628,160633.6583687368
397,123242.46863902855
587,195237.62717475375
971,150218.42616146468
2611,145101.74076552008
1887,92278.10127459138
2399,369857.2297268085
2148,192305.3813692058
304,138638.2085356001
1997,130307.50295732732
2817,103127.71140738235
1431,205142.05804957644
427,345487.05419752316
263,118631.20651188085
598,177608.25408293554
2895,237313.03783856143
687,139344.3870849331
1822,125581.3014240843
2191,100213.69832001427
179,120394.27125539914
1009,233994.7397319452
2010,127321.12174380329
1991,139225.0571431912
1411,213429.97142629977
1721,231866.59042309498
1144,193150.69548048946
593,212723.08874079402
575,305854.24158066197
1249,170017.33960653123
1604,116883.52510135107
1064,482854.9138695056
1923,151281.13679814056
1988,114883.44045358639
2325,160701.21362709592
114,199327.11194567804
2700,180989.79968647307
217,131586.6260651122
343,181005.467346423
386,209642.12397980742
2005,111414.99566769574
2908,140196.63418343582
1814,241930.79287760743
2446,486477.27201851836
208,133955.99501426978
1679,97522.49466347777
822,309880.71171425196
6,187458.4867748972
1781,396355.2039384185
2397,322509.88874655287
2340,319932.16446874395
1618,163321.59695134874
2843,151414.0628293899
1061,365096.6488166022
2786,124556.26978823417
1935,132536.2563093554
1341,107534.12515158042
521,258902.98012849918
2136,127624.94037590979
996,199597.00952036827
227,137867.45389581943
135,180536.69907271722
1167,160183.0914550381
294,233466.24767186565
1776,213512.46009765807
540,165839.4537884124
1717,239766.18529193252
2303,124350.0832887017
116,185023.92976943508
127,140570.0486510975
1371,128826.96973694052
1014,158806.98759611064
1507,106071.25718547669
702,133470.40673871
750,149834.59859089786
261,139457.8275813145
1559,62414.33841600639
577,236476.60197347074
2812,197227.75265996627
2080,166298.22502138367
1368,106082.23491383866
2376,119311.89225173392
659,120947.11949429146
1235,129316.7847351626
332,65127.26068816264
1917,142682.65603393037
2094,236742.41701501544
1460,258179.67451571178
1471,216090.14916618264
1509,120716.53893120264
1922,127508.23144874627
433,476097.81651072326
460,260427.0789292152
1116,235714.90622932778
1137,162734.50168957267
53,151044.27253216167
2354,275017.7005233715
1475,196461.5521868088
1761,498839.0050626589
842,133085.48818511493
2739,183605.3496390368
2509,151406.14303380807
1007,199056.1668434451
2610,187797.72331131194
1952,87339.2589254766
2719,160043.6378526142
2921,76383.12598208926
1966,153492.13270484068
292,116494.99623523328
1204,179244.29642695858
1829,253194.22606132593
2419,200033.20304381824
391,140887.96460287698
798,118208.85093861484
481,193786.05506176795
193,201389.3551724501
555,114134.88996271767
899,56606.98377722128
2357,177377.50002249936
328,127756.7172887855
1356,113789.26142417146
1154,101544.46668305137
1730,186793.00275107927
2249,159869.04086869134
1119,295447.6193350157
2856,150060.6156835461
1394,131345.82356620906
2587,106706.79955455128
61,316296.3546639973
2661,174119.92636064338
2711,131174.87687320155
1147,178422.01614730046
757,113609.72966787156
2623,102436.98121121127
